title,date,paragraph
"Trump and Harris Neck and Neck After Summer Upheaval, Times/Siena Poll Finds",2024-09-08T09:03:18+0000,"Former President Donald J. Trump and Vice President Kamala Harris enter the homestretch of the campaign in a tight race, and with their only scheduled debate looming on Tuesday, Ms. Harris faces a sizable share of voters who still say they need to know more about her."
George Clooney: I Love Joe Biden. But We Need a New Nominee.,2024-07-10T14:46:56+0000,"I’m a lifelong Democrat; I make no apologies for that. I’m proud of what my party represents and what it stands for. As part of my participation in the democratic process and in support of my chosen candidate, I have led some of the biggest fund-raisers in my party’s history. Barack Obama in 2012. Hillary Clinton in 2016. Joe Biden in 2020. Last month I co-hosted the single largest fund-raiser supporting any Democratic candidate ever, for President Biden’s re-election. I say all of this only to express how much I believe in this process and how profound I think this moment is."
Thursday Briefing: Netanyahu’s Address to Congress,2024-07-24T21:18:14+0000,"Benjamin Netanyahu, the prime minister of Israel, defended his country’s military campaign in Gaza before Congress yesterday. His address laid bare the divisions in Washington over a war that has killed tens of thousands of Palestinians."
Top U.S. Official Held Talks in Paris on Defusing Israel-Hezbollah Conflict,2024-07-02T18:23:21+0000,"A senior White House official met with French officials in Paris on Wednesday to discuss ways to defuse the escalating border fire between Israel and Hezbollah militants in Lebanon, a conflict that Secretary of State Antony J. Blinken said this week had caused Israel to lose sovereignty in its north."
Major Inmate Swap Frees Dissidents and U.S. Journalists From Russian Prisons,2024-08-01T20:33:00+0000,"A prisoner swap on Thursday among seven countries freed the Wall Street Journal reporter Evan Gershkovich and two other Americans held in Russia, along with several jailed Russian dissidents, in a deal whose size and complexity has no parallel in the post-Soviet era."
JetBlue Says It May Back Out of Deal to Acquire Spirit Airlines,2024-01-26T16:24:54+0000,JetBlue Airways said on Friday that it might back out of a $3.8 billion acquisition of Spirit Airlines after a federal judge blocked the deal.
Biden’s Age as a Major Campaign Issue,2024-02-12T18:32:56+0000,To the Editor:
Why There’s Hope for U.S. Factory Towns Laid Low by the ‘China Shock’,2024-11-01T09:03:09+0000,"For much of the last half century, economic life in the heart of North Carolina has been dominated by factory closings, joblessness and downgraded expectations. Textile mills and furniture plants have been undercut by low-priced imports from Mexico and China. Tobacco processing jobs have disappeared."
Harris Has Made Up Ground in Nevada. But the Road Ahead Is Steep.,2024-08-01T18:26:30+0000,"Bryce Brady, a former high school English teacher turned presidential campaign operative, took to the front of the room with first-day-of-school enthusiasm."
The Supreme Court Upheld a Law Disarming Domestic Abusers,2024-06-21T21:00:22+0000,"The Supreme Court, in an 8-to-1 decision, ruled today that the government can take guns away from people subject to restraining orders for domestic violence."
Biden’s Deep Miscalculation on Israel and Gaza,2024-04-24T09:03:30+0000,"The war in Gaza has become President Biden’s war, the Times Opinion columnist Nicholas Kristof argues in a recent column criticizing what he describes as a moral failing on Biden’s part. In the following conversation, the Opinion editor Sarah Wildman asks Nick to elaborate on where he thinks Biden went wrong and what he hopes the president will do to try to end the conflict in the Middle East"
"Boeing Locks Out Firefighters in Contract Dispute, and Biden Weighs In",2024-05-09T19:54:18+0000,"Contract negotiations between Boeing and a union representing firefighters at some of the company’s commercial plane factories broke down last week. On Thursday, President Biden called on both sides to return to the negotiating table."
‘I Feel Like She Humiliated Him’: How Trump Lost the Debate,2024-09-11T09:03:50+0000,"Michelle Goldberg, the Times Opinion columnist, and Patrick Healy, the deputy Opinion editor, discuss the best and worst moments of the debate between Kamala Harris and Donald Trump. Will Harris’s apparent debate night victory matter to the swing state voters who can make the difference?"
Tim Walz and the Pull of Rural America,2024-08-18T22:29:45+0000,To the Editor:
U.S. to Send Another Patriot Missile Battery to Ukraine,2024-06-11T19:26:29+0000,"President Biden has approved the deployment of another Patriot missile system to Ukraine, senior administration and military officials said, as the country struggles to fend off Russian attacks on its cities, infrastructure and electrical grid."
The Republican Party Has a Split-Personality Problem,2024-07-20T11:00:08+0000,"There is a paradox at the heart of Donald Trump’s campaign, a potentially irreconcilable divide that could damage his potential new presidency right from the start."
U.A.W. Holds Off on Endorsing Harris,2024-07-23T17:54:06+0000,"A succession of unions and labor federations this week have endorsed Vice President Kamala Harris’s campaign for the Democratic presidential nomination, but one prominent group has stood out for its relative silence: the United Automobile Workers."
Ann Selzer Announces End of Election Polling Operation,2024-11-17T17:36:47+0000,"J. Ann Selzer, the vaunted Iowa political pollster who released an eyebrow-raising poll just before Election Day, said on Sunday that she would end her election polling operation."
Friday Briefing: A Judge Weighs a Monumental Trump Decision,2024-09-05T21:22:29+0000,The presidential election is less than two months away. This is what we’re watching.
Kamala Harris Needs a Better Plan for Taxing the Ultrarich,2024-09-06T19:00:02+0000,I agree with Warren Buffett that he and his fellow billionaires shouldn’t pay lower tax rates than their secretaries. But I don’t think President Biden’s so-called billionaire minimum income tax is the right way to fix things. I hope Vice President Kamala Harris will propose a different approach.
"Israel Pushes Deeper Into Rafah, Defying International Opinion",2024-05-23T23:00:14+0000,"Israel’s military battled deeper into Rafah in the southern Gaza Strip on Thursday, expanding its offensive into the city and driving more people out of it, while Israel faced growing international pressure and isolation over its war against Hamas."
America Is Still Having a ‘Vibecession’,2024-05-23T23:00:23+0000,"If Donald Trump wins the election, the main reason will surely be that a majority of voters believe that America’s economy is in bad shape. And no matter how much you may dread a second Trump administration, electoral defeat for an incumbent who is seen as presiding over a bad economy is, at least in one sense, politics as usual."
Georgia Judge Rejects Effort to Dismiss Trump Case on Free Speech Grounds,2024-04-04T17:43:19+0000,A judge in Atlanta on Thursday rejected an effort by former President Donald J. Trump and his co-defendants to have the Georgia criminal case against them dismissed on grounds that it was based on comments that were protected by the First Amendment.
U.S. Races to Replenish Storm-Battered Supplies of IV Fluids at Hospitals,2024-10-09T15:21:06+0000,U.S. officials approved airlifts of IV fluids from overseas manufacturing plants on Wednesday to ease shortages caused by Hurricane Helene that have forced hospitals to begin postponing surgeries as a way to ration supplies for the most fragile patients.
U.S. to Ask Court to Reauthorize Disputed Surveillance Program for a Year,2024-02-28T22:18:57+0000,"The Biden administration is moving to extend a disputed warrantless surveillance program into April 2025, according to officials familiar with the matter."
The Problem in Plain Sight,2024-07-01T22:02:54+0000,"Top Democrats are circling the wagons around President Biden with a simple response to his disastrous debate performance: It was just one bad night, and the freakout over his candidacy is overblown."
Biden Tries to Soothe His Top Fund-Raisers on a Private Call,2024-07-08T18:28:17+0000,"President Biden spoke directly to some of his biggest fund-raisers and donors on Monday, repeating his assertion that he was staying in the race and telling them they needed to shift the focus of the campaign away from him and onto former President Donald J. Trump."
Where Does Biden’s Student Loan Debt Plan Stand? Here’s What to Know.,2024-08-29T01:30:33+0000,President Biden’s latest effort to wipe out student loan debt for millions of Americans is in jeopardy.
"Harris Will Appear in a Whirlwind of Interviews, Most of Them Friendly",2024-10-06T09:03:58+0000,"Vice President Kamala Harris will engage in a media blitz this week, sitting for a series of mostly friendly interviews as her campaign shifts into exhorting her supporters to make sure they cast their votes."
A Biden Victory in November Turns on This State,2024-04-18T09:07:04+0000,"Let’s talk about why President Biden is spending three days in Pennsylvania this week — a lot of time, by campaign standards. By now, you probably know that just a few swing states are pivotal to winning the White House in November. For Mr. Biden, the Keystone State is the most crucial."
What ‘Mass Deportation’ Actually Means,2024-11-21T10:04:05+0000,"If you didn’t think they were serious before, you certainly ought to know better now."
Biden Called Putin a ‘Crazy S.O.B.’ The Kremlin Called Biden a ‘Cowboy.’,2024-02-22T19:35:59+0000,"President Biden called Vladimir V. Putin, the president of Russia, a “crazy S.O.B.” during an evening fund-raiser in California, which the Kremlin dismissed as “Hollywood cowboy-style behavior.”"
Supreme Court Appears Skeptical of Using Obstruction Law to Charge Jan. 6 Rioters,2024-04-16T09:03:43+0000,"The Supreme Court seemed wary on Tuesday of letting prosecutors use a federal obstruction law to charge hundreds of rioters involved in the Capitol attack on Jan. 6, 2021."
"U.K.’s Policy on Israel, Long Aligned With America’s, Veers Away",2024-07-25T04:01:23+0000,"For 10 months, Britain’s Conservative government had moved almost in lock step with the United States in its response to Israel’s war in Gaza. Now, under its new Labour government, Britain is edging away from its closest ally on the conflict."
"Jan. 6, America’s Rupture and the Strange, Forgotten Power of Oblivion",2024-06-15T11:00:37+0000,"On March 4, Judge Tanya Chutkan presided over jury selection for a criminal trial in a Jan. 6, 2021, case. That date had long been scheduled, though there was a different defendant seated before her from one who had been planned: In the place of Donald Trump sat a 57-year-old Pennsylvania man named Lynnwood Nester."
"John F. Kennedy Jr.’s 1990s-Era Magazine Is Back, With a QAnon Twist",2024-10-13T09:00:11+0000,"On a Saturday morning in August, a few hundred people gathered at a convention center in Hot Springs, Ark., paying between $145 and $475 to hear from a cast of far-right speakers. They included a body builder-turned-pundit who carries a tomahawk and promotes an antisemitic conspiracy theory, and a pro-Trump preacher who has warned of threats posed by technologically sophisticated demon mermaids."
The Trump-Oprah Voter,2024-05-23T09:04:17+0000,"There is one question about Donald Trump that I’m asked above all others, as someone whose professional life is devoted to studying voter behavior and, in particular, what drives Republicans. Here is a man who remains the front-runner for the presidency, despite facing dozens of felony charges, a jury verdict as soon as next week and the lingering frustration of voters — including Republicans — over the Jan. 6 insurrection at the Capitol. Why doesn’t any of it affect his standing in the polls?"
Biden Will Sit for Interview on Friday With ABC News,2024-07-02T18:56:50+0000,"President Biden will sit for an interview on Friday with the ABC News anchor George Stephanopoulos, his first in-depth appearance with a journalist since his shaky debate performance last week raised alarms among Democrats about his continued viability as a candidate."
The Key Issues for Business in a Likely Trump-Biden Rematch,2024-01-27T13:00:02+0000,"After beating Nikki Haley in New Hampshire on Tuesday, Donald Trump  reaffirmed his position as the leading candidate to win the Republican nomination. That has business leaders facing the possibility of another Trump presidency, and their investors trying to figure out what it could mean for their bottom lines."
"With Smugglers and Front Companies, China Is Skirting American A.I. Bans",2024-08-04T04:00:20+0000,"In the southern Chinese city of Shenzhen, a mazelike market stretches for a half-mile, packed with stalls selling every type of electronic imaginable."
White House Clashed With Justice Dept. Over Special Counsel Report,2024-02-15T20:30:14+0000,"The White House clashed with the Justice Department in the run-up to the release of a special counsel report last week about President Biden’s handling of classified information, previously undisclosed correspondence shows."
The Kamala Harris Moment Has Arrived,2024-04-17T23:00:07+0000,"One of Kamala Harris’s most memorable moments during the 2020 presidential election cycle was when, during a Democratic primary debate, she sharply criticized Joe Biden for working with segregationists in the Senate in their shared opposition to busing."
"Fighting in Rafah and Closure of Gaza Crossings Threaten Aid Operation, U.N. Says",2024-05-08T23:23:08+0000,"The United Nations has warned that Israel’s military incursion into Rafah and closure of border crossings is a major setback for aid operations in the Gaza Strip, with dire implications for its people."
An Overlooked War,2024-05-08T10:40:00+0000,A people take to arms and fight for democracy. A military terrorizes civilians with airstrikes and land mines. Tens of thousands are killed. Millions are displaced.
How Is a College Football Team Different From Its Marching Band?,2024-03-18T09:04:23+0000,"Robert McRae III has seen a lot. His grandmother, a civil rights activist in Los Angeles, often brought him along to rallies she organized and picket lines she walked — even to a gay pride parade with giant anatomical balloons that, he recalls with a smile, might not have been age appropriate."
Johnson Has a Tough Job. McCarthy’s Concessions Are Making It Tougher.,2024-04-18T19:54:33+0000,Speaker Mike Johnson’s push to advance an aid package for Ukraine in the face of vehement opposition from his own party was never going to be easy.
Biden and Jordan’s King Call on Israel to Protect Palestinians in Rafah,2024-02-12T07:00:33+0000,President Biden said on Monday that Israel should not proceed with a major ground offensive in the southern Gaza city of Rafah without a “credible plan” to protect more than one million people who are sheltering there.
Exxon Sues to Prevent Climate Proposal From Getting a Shareholder Vote,2024-01-22T15:26:03+0000,Exxon Mobil is suing two activist investors to prevent their proposal calling for emissions cuts at the oil giant from going to a vote of shareholders.
Alabama’s I.V.F. Ruling Shows Our Slide Toward Theocracy,2024-02-22T00:00:07+0000,"If you don’t think this country is sliding toward theocracy, you’re not paying attention."
It’s Time for Democrats to Hold Hands and Jump,2024-07-18T20:42:29+0000,"Ever since President Biden’s calamitous debate last month, many Democrats who’ve lost faith in his candidacy have been frozen, fearing mutually assured destruction. They want Biden to step aside, but they worry that if they call on him to leave the race and he refuses, he’ll be left even weaker against Donald Trump than he is right now. “The worst of all worlds is if half of the members come out for him withdrawing, either in individual press conferences or even as a group, but then he doesn’t do anything,” one member of Congress told me Wednesday, speaking on condition of anonymity because the issue is so sensitive."
Democrats Who Won,2024-11-11T11:40:27+0000,"In a very bad year for their party, some Democrats still figured out how to win tough races."
‘Is Friendship Becoming Obsolete?’: The Week 6 Winner of Our Summer Reading Contest,2024-07-30T13:23:48+0000,"For 15 years, our Summer Reading Contest has been inviting teenagers around the world to tell us what New York Times pieces get their attention and why. This year, for the first time, students can submit either written comments or 90-second video responses."
How a Teamster Leader’s Flirtations With Trump Have Divided the Union,2024-07-11T14:09:14+0000,"Sean O’Brien, the president of the International Brotherhood of Teamsters, has framed his decision to speak at the Republican National Convention next week as a savvy maneuver to keep the union’s doors open to whoever prevails in November’s presidential election."
Biden Will Allow Legal Permission to Lapse for Migrants From 4 Countries,2024-10-04T18:58:04+0000,"The Biden administration said Friday it would allow the temporary legal permission for migrants from Cuba, Venezuela, Haiti, and Nicaragua to lapse, forcing hundreds of thousands of people to find other methods to stay in the country or face deportation."
Biden’s Wall Street Donors Are Increasingly ‘Concerned’,2024-07-08T11:30:17+0000,"As more leading Democrats say privately that President Biden should withdraw from the presidential race, some of the party’s most prominent backers on Wall Street spent the holiday weekend debating what to do next."
"Far From Presidential Battlegrounds, Blue States Could Decide Congress",2024-08-28T16:34:27+0000,"Campaigning on a rainy recent morning, Mondaire Jones had plenty of reasons to be optimistic about his effort to unseat Representative Mike Lawler, a first-term Republican in the Hudson Valley in New York."
Trump Promises Clean Water. Will He Clean Up ‘Forever Chemicals’?,2024-11-20T10:04:24+0000,"These chemicals are in the tap water of the majority of Americans, and the Trump administration could decide their fate."
Pro-Palestinian ‘Uncommitted’ Group Comes Out Firmly Against Trump,2024-10-08T16:20:04+0000,"Uncommitted, the national group of Arab Americans, Muslim Americans and Palestinian rights activists that emerged from primary-season voters protesting President Biden’s Middle East policy, took a big step Tuesday toward encouraging supporters to vote for Vice President Kamala Harris."
Alabama’s Ruling That Frozen Embryos Are Children,2024-02-23T17:02:07+0000,To the Editor:
"Let’s Set the Record Straight on Biden, Harris and the Border",2024-10-30T09:03:43+0000,"Immigration is a top issue on voters’ minds. When people talk about President Biden and Vice President Kamala Harris’s handling of immigration, they usually say something like: Record numbers of migrants poured across the border over the past three years, and Mr. Biden and Ms. Harris ignored the crisis until recently. They were weak on the border. Or worse, inept."
Biden and Blinken Accuse I.C.C. Prosecutor of Falsely Equating Israel and Hamas,2024-05-20T19:00:37+0000,"President Biden on Monday condemned the decision by the International Criminal Court’s chief prosecutor to seek arrest warrants for two top Israeli officials — Prime Minister Benjamin Netanyahu and Defense Minister Yoav Gallant — when he requested warrants for the leaders of Hamas, saying in a White House statement that “whatever this prosecutor might imply, there is no equivalence — none — between Israel and Hamas.”"
Biden Administration Proposes Ban on Chinese Software in Vehicles,2024-09-23T12:46:04+0000,"The Biden administration announced a sweeping initiative on Monday to ban Chinese-developed software from internet-connected cars in the United States, justifying the move on national security grounds. The action is intended to prevent Chinese intelligence agencies from monitoring the movements of Americans or using the vehicles’ electronics as a pathway into the U.S. electric grid or other critical infrastructure."
Wall Street’s Masters of the Universe Are Masters of None in 2024 Race,2024-07-20T09:03:16+0000,"It’s a bad time to be a finance billionaire. Well, in Washington, D.C., anyway."
The Harris-______ Campaign,2024-07-24T10:49:19+0000,Kamala Harris’s choice of a running mate probably won’t decide this year’s presidential campaign. It’s hard to argue that a vice-presidential nominee has swung even a single state over the past 60 years.
Biden in Crisis,2024-07-04T10:37:06+0000,The political climate for President Biden is worse this morning than it was just a few days ago.
"Hunter Biden, Facing Contempt Referral, Says House Subpoenas Are Invalid",2024-01-12T17:37:51+0000,"Hunter Biden argued Friday that the subpoenas House Republicans have issued to him are invalid, his latest attempt to counter the contempt of Congress case that Republicans are pursuing against him as part of their impeachment inquiry into his father."
How ‘History and Tradition’ Rulings Are Changing American Law,2024-04-29T09:03:15+0000,"In November 2022, a group of L.G.B.T.Q. students at West Texas A&M University started planning a drag show for the following spring. They wanted to raise money for suicide prevention and stand up for queer self-expression at a time when conservatives in Texas, in the name of protecting children, were mobilizing to shut drag shows down."
The Real Problem With Legal Weed,2024-07-03T09:02:10+0000,"When New York legalized recreational marijuana in 2021, the future seemed bright. “It has been a long road to get here, but it will be worth the wait,” State Senator Liz Krueger, a sponsor of the legislation, told New Yorkers. Legalization, she and others said, meant a wave of new jobs and new tax revenue. It meant an end to racist policing of marijuana and the start of equity, with rules that put those harmed by prohibition at the front of the line for licenses. And it meant easy-to-buy weed for the 1.6 million adult New Yorkers who already partook."
Kremlin Uses Olympic Ban as Another Arrow to Shoot at the West,2024-07-25T09:02:50+0000,Follow live updates on the opening ceremony of the 2024 Paris Olympics.
"For Most Refugees in Canada, a Warm Embrace. For Others, Jail.",2024-06-15T09:00:13+0000,"His attempt to escape deportation from Germany by hiding on a westbound freighter — under the cargo cover of a new BMW — was desperate and ill conceived. With only 1.5 liters of water and some nuts and dates, Walid Kabil did not have enough supplies, heat or space to survive the April voyage."
Biden Made Trump Bigger. Harris Makes Him Smaller.,2024-08-11T10:00:20+0000,Kamala Harris has a very different theory of this election than Joe Biden did.
Thursday Briefing,2024-06-06T04:03:14+0000,"My colleague Declan Walsh and the photographer Ivor Prickett spent three weeks in Sudan, where few foreign reporters have had access in the past year. Since conflict erupted there in April 2023, millions of people have been displaced, and a looming famine threatens the lives of hundreds of thousands of children."
Biden’s Crisis Could Be Just What Democrats Needed,2024-07-11T09:03:07+0000,"The Democratic Party and its voters need to feel hopeful this election season, argues the veteran political consultant James Carville. In this audio essay, Carville lays out why that means President Biden should step aside and make way for a snap primary."
‘We Just Need a Break’: Another Flood in Vermont Wears Out Residents,2024-07-31T22:40:43+0000,"A storm that brought more than eight inches of rain to parts of northeastern Vermont early Tuesday destroyed and damaged dozens of homes, officials said, the latest blow to a state that has suffered a string of severe floods since last summer. "
The Lesser-Known Side of Harris’s Identity: Asian American,2024-07-28T09:01:32+0000,"Daniel Chiang can remember one Asian American who ran for president in 2020: Andrew Yang, a Taiwanese American entrepreneur. But he was surprised to learn last week that there was another person running for president then, and in 2024, who counted herself an Asian American: Kamala Harris."
New Nutrition Guidelines Put Less Sugar and Salt on the Menu for School Meals,2024-04-24T12:30:09+0000,"School meals will soon contain less salt and sugar, but can still include chocolate milk, under new nutrition guidelines released by the Biden administration."
Full Transcript of Tim Walz’s Speech at the Democratic Convention,2024-08-22T04:25:12+0000,Wow. Thank you. Thank you. Thank you. Wow. Thank you.
A Former Trump Aide Becomes a Liberal Favorite,2024-03-09T10:03:48+0000,"Now and then during an election cycle, a Republican pundit becomes something of a hero to Democrats."
Democrats Land at Climate Talks With a Message: Don’t Panic,2024-11-16T10:33:26+0000,The Australians were giving away fresh brewed coffee on Saturday afternoon. The Singaporean pavilion had free beer. The American delegation was mostly offering assurances that all hope was not lost.
"No Trial for Biden Over Documents, but a Political Mess",2024-02-08T23:04:45+0000,The special counsel investigating President Biden’s handling of classified material after leaving the vice presidency in 2017 concluded in a report released today that “no criminal charges are warranted.”
A Blind Spot and a Lost Trail: How the Gunman Got So Close to Trump,2024-07-18T00:33:48+0000,"About an hour before a gunman let loose a volley of bullets that nearly assassinated a former president, the law enforcement contingent in Butler, Pa., was on the verge of a great policing success."
African Music to the World,2024-05-25T10:28:59+0000,"This week, The Times published a profile of Tems, a 28-year-old Nigerian singer-songwriter who, in recent years, has: become the first African artist to debut at No. 1 on the Billboard Hot 100, appeared on the Beyoncé album “Renaissance” and earned an Oscar nomination for co-writing “Lift Me Up” for “Black Panther: Wakanda Forever.” She will release her debut album next month."
"As Biden Withdraws, Words of Praise and Caution",2024-07-21T20:17:35+0000,To the Editor:
"He’s Not on the N.H. Ballot, but Biden’s Allies Hope He’ll Still Win",2024-01-22T15:06:19+0000,"If President Biden’s re-election campaign can feel like a slog elsewhere, the write-in effort for him in New Hampshire’s primary election is infused with the sort of joy found in spirited underdogs."
A Good Reason for Rural Rage: The Crushing Power of Corporate Meat,2024-09-30T09:03:32+0000,"It’s no secret that rural Americans are angry with the Washington elite. Less discussed are some of the sensible reasons for it. For far too long, family farms have been crushed under the monopolistic power of Big Ag. And for decades, politicians from both parties either turned a blind eye to the oligopolies that rule over rural America — or climbed right into bed with them."
Interest Rate Cuts Could Be a Boon to Biden,2024-01-31T18:00:05+0000,"Federal Reserve officials do not set interest rates with presidential elections in mind. In fact, the central bank is independent of the White House and, as the Fed chair, Jerome H. Powell, has said repeatedly, the institution takes that independence seriously."
"In Georgia, Harris Supporters Pull Together and Fight the Odds",2024-10-31T09:05:31+0000,"The Republicans of Forsyth County, Ga., deep in Trump country, have a peculiar problem: More and more of their white neighbors are voting for Democrats."
Nikki Haley Is Chasing Independents. They Have a Mind of Their Own.,2024-01-18T16:53:14+0000,"Nikki Haley’s presidential aspirations may hang on a victory in the New Hampshire primary election on Tuesday, powered by her sway with people who do not belong to a political party. It’s not a bad bet in a state where about 40 percent of voters call themselves independents."
Can America Turn a Productivity Boomlet Into a Boom?,2024-02-14T10:00:13+0000,"Kevin Rezvani came of age in kitchens: spending summers at his grandfather’s bakery in Japan, doing work-study in his college cafeteria and working for years as a line cook at mid-tier restaurants, along with some stints in fast food."
"As Biden Points to His Past, Supporters Are More Worried About His Future",2024-07-12T21:03:41+0000,"As President Biden tries to save his candidacy, he is asking Americans to look to the past."
Who Won the Debate? Biden Stumbles Left Trump on Top,2024-06-28T03:26:43+0000,"In the first presidential debate of the year between the leading Democratic and Republican candidates, President Biden and former President Donald J. Trump clashed on inflation, taxes, Ukraine and the future of democracy."
Congressional Leaders Strike Deal on Final Spending Bill Ahead of Shutdown,2024-03-19T14:14:34+0000,"Congressional leaders said on Tuesday morning that they had reached an agreement on the final package of spending legislation to fund the federal government through the fall, though it was unclear whether they would be able to pass it in time to avert a brief partial shutdown over the weekend."
"Bomb Threats Hit Several States, but None Are Found Credible",2024-11-05T19:11:22+0000,"Polling places in several states were targeted by bomb threats on Tuesday, officials said, leading to evacuations and some disruptions in voting, although none of the threats were immediately found to be credible."
"Deaths of Gazan Children Likely to ‘Rapidly’ Rise Amid Aid Snarls, U.N. Warns",2024-03-04T00:29:10+0000,"Days after an aid delivery in Gaza turned into a deadly disaster, Israel pushed ahead with another convoy bound for northern Gaza on Sunday, a Palestinian businessman involved in the initiative said, as the United Nations warned that deaths of children and infants are likely to “rapidly increase” if food and medical supplies are not delivered immediately."
Alabama Passes Law to Protect I.V.F. Treatments,2024-03-07T02:52:41+0000,"Alabama lawmakers passed legislation on Wednesday to shield in vitro fertilization providers from civil and criminal liability, capping off their scramble to allow the fertility treatment after a State Supreme Court ruling found that frozen embryos should be considered children."
Trump Has Crossed a Truly Unacceptable Line,2024-09-14T11:00:08+0000,"When my family moved back to the United States from East Africa in the mid-1980s, one might have thought it was a peak time of compassion for people suffering in faraway places. A glittering group of music superstars had recorded “We Are the World,” a smash hit charity single to raise money and awareness for the victims of a brutal famine that had gripped my mother’s home country, Ethiopia."
Trump and Harris Embody a Stark Partisan Divide on Fighting Poverty,2024-08-26T15:42:42+0000,Follow the latest updates on the Harris and Trump campaigns.
"Amid Tragedy, Anguished Pleas for Gaza",2024-04-04T17:44:47+0000,To the Editor:
Biden Drops His Bid for Re-Election,2024-07-21T21:25:56+0000,"President Biden abandoned his bid for re-election today, succumbing to intense pressure from the Democratic Party in a dramatic attempt to stop Donald Trump from returning to the White House."
Thursday Briefing: U.S. Warnings About a Russian Space Weapon,2024-02-21T21:11:06+0000,"U.S. intelligence agencies have told their closest European allies that if Russia is going to launch a nuclear weapon into orbit, it will probably do so this year. But, they warned, it might instead launch a harmless “dummy” warhead to leave the West guessing about its capabilities."
Wednesday Briefing: Senate Votes on Ukraine Aid,2024-04-23T20:40:57+0000,"The Senate is on track to pass the $95 billion package of foreign aid to Ukraine, Israel and Taiwan. A final vote is expected in the next few hours, and President Biden plans to sign it."
Trump Visits a Construction Site in Manhattan Before His Trial Resumes,2024-04-25T13:21:59+0000,"Hours before he was set to return to the courthouse for his criminal trial in Manhattan, former President Donald J. Trump started Thursday morning by visiting a construction site in a campaign stop that exemplified the balancing act required for a candidate who is also a criminal defendant."
Hunter Biden Is Guilty. That’s OK.,2024-06-11T19:15:37+0000,"As a rule, it is not a good thing for your son to be convicted of a crime, and particularly not when you are the sitting president in the heat of a brutal re-election campaign."
Harris Opens $110 Million Cash Edge Over Trump After August Fund-Raising Haul,2024-09-06T09:07:30+0000,"Vice President Kamala Harris in August raised almost triple the sum collected by former President Donald J. Trump, opening up a $110 million cash lead over her Republican rival once Ms. Harris took over the top of the Democratic ticket."
Is It a Mistake for Democrats to Go All In on Harris? Four Columnists on the Party’s Moves.,2024-07-22T19:44:24+0000,"Patrick Healy, the deputy Opinion editor, hosted an online conversation with the Times Opinion columnists Ross Douthat, David French, Michelle Goldberg and Lydia Polgreen to discuss where Democrats go from here — whether the party should coalesce unreservedly around Kamala Harris as its presidential nominee, what her strengths and weaknesses are, how she should run against Donald Trump, what it will take to beat him and who the Democratic V.P. nominee should be this year. This conversation has been edited for length and clarity."
U.S. Missiles Strike Targets in Yemen Linked to the Houthi Militia,2024-01-11T23:49:05+0000,"The United States and five of its allies on Thursday carried out military strikes against more than a dozen targets in Yemen controlled by the Iranian-backed Houthi militia, in an expansion of the war in the Middle East that the Biden administration had sought to avoid for the past three months."
Heritage Foundation Head Refers to ‘Second American Revolution’,2024-07-03T15:30:25+0000,"The president of the Heritage Foundation, a right-wing think tank that has developed a prominent series of policy plans to overhaul the federal government under a Republican president, said on Tuesday that the country was “in the process of the second American Revolution, which will remain bloodless if the left allows it to be.”"
The Politics of Disaster,2024-09-30T23:23:03+0000,"When former President Donald Trump traveled to Valdosta, Ga., today, he seemed to want to project the image of a leader in command amid the devastation of Hurricane Helene."
Behind the A.I. Robocall That Impersonated Biden: A Democratic Consultant and a Magician,2024-02-27T19:13:53+0000,A Democratic political consultant confirmed that he was behind robocalls last month that used an artificial-intelligence impersonation of President Biden to urge Democrats not to vote in the New Hampshire primary.
Man Accused in Plot to Assassinate Sikh Separatist Pleads Not Guilty,2024-06-17T19:48:07+0000,"An Indian man pleaded not guilty on Monday to charges of orchestrating a failed assassination plot against a Sikh separatist in New York, a plan that prosecutors say he devised on behalf of an unnamed official in India’s government."
The Metamorphosis of Pete Hegseth: From Critic of War Crimes to Defender of the Accused,2024-11-21T18:06:30+0000,"When Pete Hegseth was an earnest, young Army lieutenant in Iraq in 2005, he was cleareyed on how he viewed crimes committed by soldiers in war."
Trump Looked Livid. Harris Looked Amused. It Was No Contest.,2024-09-11T05:33:11+0000,"In Kamala Harris’s big general-election debate four years ago, she faced off against an opponent with a fly on his head."
Anti-Abortion Activists Press Ahead After Supreme Court Ruling,2024-06-13T17:31:24+0000,"Anti-abortion stalwarts expressed widespread disappointment over the Supreme Court’s decision to uphold access to a widely available abortion pill, even as they vowed that their fight was far from over."
"Three Delegates, Decades Apart in Age, Converge at the Democratic Convention",2024-08-21T17:19:18+0000,"Among the nearly 4,700 delegates gathered in Chicago this week for the Democratic National Convention: United States senators and representatives. Top state officials. Leaders of major advocacy groups and labor unions. Democrats aspiring to become one or more of the above."
Assessing Trump’s and Biden’s Claims About Immigration and Border Security,2024-06-16T09:02:26+0000,Large numbers of migrant apprehensions at the southern border have vaulted immigration and border security onto the list of top concerns for voters.
Trump’s Gains in New York City Offer Clues to a Shifting Electoral Map,2024-10-26T09:05:44+0000,"This morning, we have a New York Times/Siena College poll in a place that might surprise you: New York City."
