title,date,paragraph,,,,,
Harris Is Searching for Precious Swing Voters,2024-10-21T21:44:42+0000,"Kamala Harris hit the road today for campaign events in the three battleground states that make up her clearest possible path to victory: Pennsylvania, Michigan and Wisconsin. In each state, Harris is holding sit-down discussions with the former congresswoman Liz Cheney, her most prominent conservative surrogate.",,,,,
Why Trump Is Lying About Disaster Relief,2024-10-03T23:00:08+0000,"On Tuesday, I was part of a City University of New York event about economic perceptions, which was briefly disrupted by a protester yelling out that President Biden isn?™t helping some of the areas afflicted by Hurricane Helene. The guy?™s politics were unclear ??he was also yelling something about Israel ??but it was an indication that Donald Trump?™s latest lie has gone viral.",,,,,
Justice Dept. Settles Lawsuit With Former F.B.I. Officials Targeted by Trump,2024-07-26T21:15:35+0000,"The Justice Department settled a lawsuit on Friday with two former F.B.I. officials who had accused the Trump administration of violating their privacy by sharing their texts disparaging former President Donald J. Trump with the news media, according to court documents.",,,,,
Biden Delays Ban on Menthol Cigarettes,2024-04-26T18:42:06+0000,"The Biden administration said on Friday that it was delaying a decision on whether to ban menthol cigarettes, effectively quashing a proposal that has divided Black American voters and fueled million-dollar lobbying campaigns from the tobacco industry in this presidential election year.",,,,,
Biden to Meet With China?™s Leader During Summit This Weekend,2024-11-13T17:30:06+0000,"President Biden will meet with President Xi Jinping of China on Saturday during a global summit in Peru, White House officials said Wednesday. The one-on-one meeting will be Mr. Biden?™s final opportunity to challenge the Chinese leader directly on hacking, threats against Taiwan, human rights violations and support for Russia?™s invasion of Ukraine.",,,,,
The Bizarro Normalcy of the Public Reaction to Trump?™s Win,2024-11-23T12:00:17+0000,"One of the things that has been clear with Donald Trump?™s win this time is how different it is: no shock wave jolting society. This is, according to polling, one of the presidential election outcomes most widely accepted as legitimate of the past 25 years. The reaction from some of those who didn?™t vote for him seems more restrained, with a widespread interest in preservation of self amid potential chaos ??a retreat from the news to focus on family, friends and peace of mind.",,,,,
"Under an Intense Spotlight, Harris Backs Biden and Slams Trump in Nevada",2024-07-09T09:05:32+0000,"Vice President Kamala Harris returned to Nevada on Tuesday for her sixth visit to the battleground state this year, her 14th since taking office and her first since some prominent Democrats began openly discussing whether she should replace her running mate at the top of the ticket.",,,,,
Some of the ?˜Adults in the Room??Aren?™t Who We Thought They Would Be,2024-04-22T09:01:31+0000,"Bret Stephens: Hi, Gail. I think the theme for last week was the return of adult supervision. Mike Johnson, the speaker of the House, finally showed a spine by staring down Marjorie Taylor Greene and joining forces with Democrats to pass critical foreign aid bills. And Minouche Shafik, the president of Columbia University, authorized the police to arrest pro-Palestinian student protesters who had occupied part of the campus in violation of university policies.",,,,,
"Corrections: July 17, 2024",2024-07-17T03:45:44+0000,"An article on Saturday about the ways in which former President Trump has blurred the lines between politics and business misstated the location of 45footwear L.L.C., the company selling Mr. Trump?™s $399 golden sneakers. It is in a lawyer?™s office in Wyoming, not Montana.",,,,,
A Sudden Escalation in Ukraine Before Trump Takes Office,2024-11-25T11:00:15+0000,"President-elect Donald J. Trump has promised a radically different approach to foreign policy from that of the Biden administration. In Ukraine, he has pledged to end the war in a day.",,,,,
Stuck at the Start,2024-06-02T11:37:30+0000,"Buying your first home has long been a milestone of adulthood. So has selling your first home and moving into something bigger. But in the last few years, many Americans have gotten stuck in their starter house.",,,,,
"What to Know About Pete Hegseth, Trump?™s Pick for Defense Secretary",2024-11-13T16:21:55+0000,"President-elect Donald J. Trump has picked Pete Hegseth, a Fox News host and veteran of the wars in Iraq and Afghanistan, to lead the Pentagon and the 1.3 million active-duty men and women of the American military.",,,,,
Trump Prosecutor in Georgia Seeks to Avoid Testifying in Colleague?™s Divorce Case,2024-01-18T19:14:29+0000,"Fani T. Willis, the district attorney prosecuting the Georgia election interference case against former President Donald J. Trump, is trying to quash a subpoena seeking her testimony in the divorce proceedings of a special prosecutor she hired to manage the case.",,,,,
A Reporter?™s Shield Law Is Vital to Prevent Abuses of Power,2024-10-14T09:03:03+0000,"Governments often chafe at the presence of a free press. The reason is simple: A robust and independent news media keeps a sharp eye on government and, when necessary, exposes abuse of power, corruption, incompetence and waste.",,,,,
Trump Says He?™ll Vote Against Florida?™s Abortion Rights Measure After Conservative Backlash,2024-08-31T00:24:11+0000,"Former President Donald J. Trump said on Friday that he would vote against a ballot measure in Florida that would expand abortion access in the state, clarifying his stance after having suggested a day earlier that he might support the measure.",,,,,
?˜Accordion Hands??and ?˜Caterpillar Eyebrows?? Trump Meets the Female Gaze,2024-05-27T09:03:18+0000,"When Donald Trump is relaxed ??or as relaxed as someone can be while on trial for 34 felony counts of falsifying business records ??you can see his socks. They are a thin black material, probably cashmere, and you get a glimpse of them only when he leans back in his chair, calves visible over the elastic seam.",,,,,
"At Justice Alito?™s House, a ?˜Stop the Steal??Symbol on Display",2024-05-16T22:04:22+0000,"After the 2020 presidential election, as some Trump supporters falsely claimed that President Biden had stolen the office, many of them displayed a startling symbol outside their homes, on their cars and in online posts: an upside-down American flag.",,,,,
When Public Health Loses the Public,2024-01-18T10:01:40+0000,?œPut on your masks!??,,,,,
"In Politics, Pro Athletes (and Owners) Are Just Like the Rest of Us: Divided",2024-11-02T13:00:12+0000,"Over the past eight years, the three top American sports leagues ??the National Basketball Association, Major League Baseball and the National Football League ??have at times dived headlong into political maelstroms.",,,,,
America Pulls Back from Ukraine,2024-03-14T10:39:10+0000,"For two years, Ukraine has relied on American weapons to fight Russian invaders. It has bombarded Russian lines with U.S. artillery, destroyed tanks with Javelin missiles and stopped aerial attacks with Patriot launchers.",,,,,
The Big Border Change Harris Isn?™t Talking About,2024-08-27T22:45:21+0000,"Good evening. Tonight, my colleague Hamed Aleaziz, who covers immigration, looks at why the sharp drop in border crossings isn?™t playing a bigger role in the presidential campaign. Plus, I want to hear about your favorite books about politics. ??Jess Bidgood",,,,,
Ursula von der Leyen Seeks Second Term as Top E.U. Official,2024-02-19T11:50:37+0000,?œWho do I call if I want to call Europe???,,,,,
Tammy Murphy Drops Out of Race for Menendez?™s Senate Seat,2024-03-24T20:03:25+0000,"Tammy Murphy, New Jersey?™s first lady, has ended her run for a U.S. Senate seat now held by the state?™s embattled senior senator, Robert Menendez, she announced on Sunday in a video posted to social media.",,,,,
Biden Picks John Podesta to Be His New Global Climate Representative,2024-01-31T20:41:51+0000,"President Biden has tapped John Podesta, his adviser on clean energy and a seasoned political strategist, to succeed John Kerry as his global representative on climate, the White House confirmed on Wednesday.",,,,,
Trump Turns to His Personal Lawyers to Stock Top Ranks of Justice Dept.,2024-11-15T23:04:04+0000,"For more than two years, President-elect Donald J. Trump?™s lawyers did the job they were hired to do, defending him against a barrage of criminal charges with an aggressive strategy of confrontation and delay.",,,,,
"Who Is Hope Hicks, Once One of Trump?™s Most Trusted Advisers?",2024-05-03T15:29:38+0000,Hope Hicks was 26 years old and had no political experience when Donald J. Trump plucked her from a job at his daughter Ivanka?™s clothing business and hired her for his presidential campaign in 2015.,,,,,
JD Vance?™s Plane Makes Emergency Landing in Milwaukee,2024-08-16T21:02:47+0000,"A chartered campaign plane carrying Senator JD Vance, the Republican vice-presidential nominee, was forced to make an emergency landing in Milwaukee on Friday shortly after takeoff because of a door malfunction on the aircraft, a campaign spokeswoman said.",,,,,
Trump Raises Eyebrows by Proclaiming Himself the ?˜Father of I.V.F.??2024-10-16T16:40:50+0000,"Former President Donald J. Trump declared himself the ?œfather of I.V.F.??in a town-hall event Tuesday focused on women?™s issues, an eyebrow-raising nickname that was his latest attempt to claim an advantage on a matter that has become a political liability.",,,,,,
"On a Scrambled 2024 Map, North Carolina Democrats Say Harris Has a Shot",2024-08-16T09:03:48+0000,"President Biden?™s campaign declared in its earliest days that he had a strong chance of winning North Carolina, even though no Democrat had captured the state since Barack Obama?™s victory in 2008.",,,,,
"Ronna McDaniel, Former R.N.C. Chair, Joins NBC News",2024-03-22T14:15:06+0000,"Ronna McDaniel, who stepped down as chairwoman of the Republican National Committee this month, is joining NBC News as an on-air contributor, the network said on Friday.",,,,,
"For Years, He Has Saved Lives in Rural America. Who Will Take His Place?",2024-08-28T07:00:28+0000,"The emergency radio erupted in a garble of static and a few spare details: possible stroke victim, 14 Grange Avenue.",,,,,
I?™m the Republican Governor of Ohio. Here Is the Truth About Springfield.,2024-09-20T09:04:09+0000,"I was born in Springfield, Ohio. My wife, Fran, and I have lived our entire lives less than 10 miles from this city.",,,,,
A Potentially Huge Supreme Court Case Has a Hidden Conservative Backer,2024-01-16T10:01:32+0000,Follow live updates for the Supreme Court?™s decision on the Chevron doctrine.,,,,,
Outlier Poll Results Are Inevitable. They?™re Also Sometimes Right.,2024-06-26T20:39:42+0000,This afternoon?™s New York Times/Siena College poll doesn?™t look much like other polls.,,,,,
"Dear Boomers, the Student Protesters Are Not Idiots",2024-05-17T09:03:27+0000,"Appearing last week on ?œMorning Joe,??Hillary Clinton lamented what she views as the ignorance of students protesting the war in Gaza. The host, Joe Scarborough, asked her about ?œthe sort of radicalism that has mainstream students getting propaganda, whether it?™s from their professors or from the Chinese Communist government through TikTok.??Ms. Clinton was happy to oblige. ?œI have had many conversations, as you have had, with a lot of young people over the last many months,??she said. ?œThey don?™t know very much at all about the history of the Middle East or frankly about history in many areas of the world, including in our own country.??
Harris Calls Trump a Fascist: 6 Takeaways From Her CNN Town Hall,2024-10-24T04:08:16+0000,Kamala Harris called Donald J. Trump a fascist on Wednesday evening", elevating what until recently had been an argument made only in the lower ranks of a Democratic Party that has spent years attacking him as anti-democratic," unfit to serve and a criminal.""",,,
JD Vance attacks Harris and Walz for avoiding questions and then delivers his own evasive answers.,2024-08-19T21:12:00+0000,Senator JD Vance of Ohio on Monday accused Vice President Kamala Harris and Gov. Tim Walz of Minnesota of misleading the public about their records and taking relatively few questions on the campaign trail.,,,,,
Seth Meyers Slams Republicans Supporting Trump at His Trial,2024-05-17T06:39:48+0000,"Welcome to Best of Late Night, a rundown of the previous night?™s highlights that lets you sleep ??and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",,,,,
Russia Launches Huge Bombardment of Ukraine and Signals More to Come,2024-11-28T11:21:23+0000,"Russia attacked Ukrainian energy infrastructure with missiles and drones on Thursday, in what President Vladimir V. Putin said was retaliation for Kyiv?™s hitting Russian territory with long-range American missiles.",,,,,
Do You Want a ?˜Unified Reich??Mind-Set in the White House?,2024-05-23T22:28:54+0000,"It is hard to be shocked by Donald Trump anymore. The former president?™s trial over hush money paid to a porn star has made history, and his performance in court has been so farcical that Mr. Trump was threatened with jail time for contempt of court. He has called his political enemies ?œvermin??and said that immigrants are ?œpoisoning the blood??of America. Mr. Trump?™s transgressions against American political norms are by now almost a clichÃ©.",,,,,
U.K. Election 2024: What to Know About Candidates and Key Issues,2024-05-23T14:31:00+0000,"The general election on Thursday is a pivotal moment for Britain after 14 years of government by the Conservative Party. The last full parliamentary election was in December 2019, when Boris Johnson won a landslide victory for the Conservatives, propelled by his charisma and a promise to ?œGet Brexit done??after the country?™s decision to leave the European Union in a 2016 referendum. A lot has changed since then.",,,,,
"Biden Deploys Troops in Helene Aid Effort, and Trump?™s Jan. 6 Case",2024-10-03T10:00:14+0000,On Today?™s Episode:,,,,,
New York Court System to Publish Daily Transcripts of Trump?™s Trial,2024-04-23T13:01:06+0000,"If you want to follow Donald J. Trump?™s criminal trial in detail but can?™t make it to the Lower Manhattan courthouse in person, you can still read every word of the proceedings.",,,,,
"?˜No Barrier??to Nuclear Talks With U.S., Iran?™s Supreme Leader Says",2024-08-27T21:11:02+0000,"Iran?™s supreme leader suggested that his country would pursue nuclear negotiations with the United States, telling the country?™s government there was ?œno barrier,??to discussions with the ?œenemy,??in a video broadcast on state television Tuesday.",,,,,
Biden Administration Is Likely to Delay Decision Over U.S. Steel,2024-09-13T17:41:20+0000,"The Biden administration is likely to delay a final decision on whether to block the sale of U.S. Steel to Nippon Steel of Japan until after the election, slowing a process that has been caught up in presidential politics, according to people familiar with the matter.",,,,,
They Supported Biden in 2020. What Made Them Change Their Minds in 2024?,2024-05-17T09:04:27+0000,"Frederick Westbrook, a retired Las Vegas hotel worker, voted for President Biden in 2020 ??as a vote to get Donald J. Trump out of office. He now calls that ?œthe biggest mistake of my life.??
In Munich"," Harris Aims to Reassure European Allies as Trump Disparages NATO""",2024-02-15T21:41:24+0000,"As Air Force Two taxied for takeoff bound for Germany, Vice President Kamala Harris made her way through the plane handing out heart-shaped Valentine?™s Day cookies. It was good practice for her trip to the Munich Security Conference, where her mission will be to reassure European allies that America still loves them.",,
"Biden Says Harris Is Qualified to Be President, but Vows to Remain in Race",2024-07-12T02:02:57+0000,"President Biden said on Thursday that Vice President Kamala Harris was qualified to be president, but pitched himself as the best person to defeat former President Donald J. Trump in November.",,,,,
What Makes the Far Right Tick?,2024-09-10T09:02:17+0000,"On an unseasonably hot day in April 2017, a caravan of vehicles full of white supremacists rolled into Pikeville, Ky. The neo-Nazis, Knights of the Ku Klux Klan and other self-described racists were emboldened by the election of Donald Trump and dressed to the hilt with jackboots, shields, sunglasses and firearms. They had come to recruit from America?™s whitest congressional district, which is also one of its poorest and most conservative.",,,,,
Democrats in Congress Weigh Whether to Stick With Biden,2024-07-03T16:19:10+0000,Democratic leaders in the House and Senate refrained on Wednesday from urging their members to rally around President Biden and were instead listening to a barrage of complaints streaming in from both the party?™s centrist wing and its progressives.,,,,,
This Isn?™t All Joe Biden?™s Fault,2024-06-30T10:00:22+0000,"On Thursday night, after the first presidential debate, MSNBC?™s Alex Wagner interviewed Gov. Gavin Newsom of California. ?œYou were out there getting a chorus of questions about whether Biden should step down,??she said. ?œThere is a panic that has set in.??
Kamala Harris Could Win This Election. Let Her.,2024-06-28T16:52:59+0000,Like many Americans who watched the presidential debate on Thursday night", I knew when it was over that there was no way I was going to sleep. So I did something I almost never do: tuned in to the pundit commentary on cable news. I?™m glad I did. Not long after the debate, Vice President Kamala Harris appeared on CNN with Anderson Cooper. Watching her calmly and methodically respond to a battering ram of questions from Cooper, it occurred to me: The obvious, logical path out of the mess President Biden created with his disastrous debate performance is for him to bow out with honor and endorse his young," vigorous and talented vice president to stand in his stead."""
Morning TV Hosts Digest Trump Victory,2024-11-06T13:55:56+0000,"The tone was triumphant early Wednesday morning on ?œFox and Friends,??in the hours after the Fox News network called the presidential race for Donald J. Trump.",,,,,
The Trump Campaign?™s Theory of Victory,2024-07-18T09:02:55+0000,The Trump campaign isn?™t just expecting to win this election; it?™s expecting to win it in a landslide. And top Trump campaign officials were feeling that confident even before Joe Biden?™s disastrous debate performance. So what?™s their strategy to achieve the blowout they?™re imagining? And is their confidence justified?,,,,,
PBS?™s Woodruff Calls Comments Suggesting Trump and Netanyahu Discussed Cease-Fire a ?˜Mistake??2024-08-21T21:04:44+0000,The veteran PBS correspondent Judy Woodruff on Wednesday apologized for on-air comments suggesting there had been a phone call between former President Donald J. Trump and Prime Minister Benjamin Netanyahu of Israel to discuss a cease-fire deal. Aides to both men denied that such a call had taken place.,,,,,,
Ex-Enquirer Publisher Says He and Others Around Trump Feared His Anger,2024-04-25T18:17:36+0000,"A recurring theme in the testimony of David Pecker, the former publisher of The National Enquirer, has been how people around Donald J. Trump lived in fear of his wrath.",,,,,
The Evening: Hundreds of Pagers Explode in Lebanon,2024-09-17T22:12:38+0000,Hundreds of pagers blew up at the same time across Lebanon today in an apparent operation against Hezbollah.,,,,,
"In Venice, George Clooney Talks President Biden and American Politics",2024-09-01T16:36:05+0000,"Midway through a Venice news conference for the crime caper ?œWolfs,??one reporter told George Clooney that she would ask the question on everyone?™s minds.",,,,,
MoveOn Will Spend $32 Million to Back Biden and Other Democrats,2024-01-26T10:01:57+0000,"The liberal activist group MoveOn will spend more than $32 million this year to back President Biden and Democratic candidates for the House and Senate, the organization?™s leader said this week.",,,,,
Biden Heads to California to Add to His $42 Million Haul in January,2024-02-20T16:13:43+0000,President Biden arrived in California on Tuesday for a series of high-dollar campaign fund-raisers in some of the wealthiest and most heavily Democratic parts of the country as he seeks to add to the $42 million he raised for his re-election campaign in January.,,,,,
"If You?™re Sure How the Next Four Years Will Play Out, I Promise: You?™re Wrong",2024-11-12T10:06:55+0000,Humans may be the only species that can imagine an unknown future. But that doesn?™t mean we?™re any good at it.,,,,,
The Story Behind ?˜They?™re Eating the Pets??2024-09-13T10:00:12+0000,"At this week?™s presidential debate, Donald J. Trump went into an unprompted digression about immigrants eating people?™s pets. While the claims were debunked, the topic was left unexplained.",,,,,,
Trump Seeks Details of Atlanta Prosecutor?™s Communications with Biden Aides,2024-01-11T16:20:50+0000,"Lawyers for former President Donald J. Trump are seeking more information about discussions Atlanta prosecutors had with the Biden White House, as well as with the House committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol.",,,,,
Criticizing a Conservative?™s Advice for Trump,2024-08-28T16:43:05+0000,To the Editor:,,,,,
Biden Granted Protections for Undocumented Spouses,2024-06-18T21:40:53+0000,President Biden today announced sweeping new protections for undocumented immigrants who have been living illegally in the U.S. for at least a decade and are married to American citizens. ,,,,,
"After Israel Aid Vote, Pocan Seeks to Show Biden Liberal Dismay on Gaza",2024-04-27T09:04:46+0000,"During a town hall-style meeting a short drive from her home in rural southwestern Wisconsin, Elizabeth Humphries asked her congressman how a 66-year-old woman like her could get the message to President Biden that she and her peers are deeply dissatisfied with his administration?™s approach to Israel?™s war in Gaza.",,,,,
Biden Campaign Ad Calls Attention to Trump?™s Felon Status,2024-06-17T09:05:36+0000,"President Biden?™s campaign on Monday began its most aggressive effort to brand former President Donald J. Trump a felon, with the introduction of a new television advertisement that focuses on the presumptive Republican presidential nominee?™s criminal conviction.",,,,,
Government by Bro,2024-11-15T23:19:07+0000,"It used to be that the perfect cabinet pick was a steady, behind-the-scenes expert who wouldn?™t take too much attention away from the president.",,,,,
Nikki Haley denounces Trump?™s NATO comments and defends her husband against his attacks.,2024-02-11T17:35:15+0000,"Nikki Haley condemned former President Donald J. Trump on Sunday for suggesting that he might not defend NATO allies, and that he might even encourage Russia to attack them, if re-elected.",,,,,
This Supreme Court Is Its Own Worst Enemy,2024-10-07T09:02:00+0000,"There are important cases among the 40 that the Supreme Court has agreed to hear in its new term beginning on Monday, but no blockbusters: nothing like last term?™s ruling in the Donald Trump immunity case, or the affirmative action case from 2023, or the abortion and guns rulings from 2022.",,,,,
The Fallout From a Credit Card Shake-Up,2024-03-27T11:43:49+0000,"A long-running fight between the credit card giants Visa and Mastercard and retailers in the United States is nearing an end, with the promise of lower fees for merchants.",,,,,
Wednesday Briefing,2024-06-19T04:05:17+0000,President Biden announced sweeping new legal protections yesterday for undocumented immigrants who have been living in the U.S. for years and are married to Americans. It is one of the most expansive presidential actions to protect immigrants in more than a decade.,,,,,
San Francisco Mayor-Elect Plans to Declare Fentanyl Emergency on Day 1,2024-11-09T00:39:00+0000,Daniel Lurie is a man in a hurry.,,,,,
Harris Hits Core Campaign Themes in Emotional Forum With Oprah Winfrey,2024-09-20T04:51:21+0000,"Vice President Kamala Harris harnessed the star power of one of her most powerful surrogates ??and one of America?™s foremost interviewers ??to lay out a pitch for her campaign on Thursday, as she confronted a range of pressing issues during a livestream forum with Oprah Winfrey.",,,,,
Tim Walz Has Championed Climate as Governor,2024-08-06T13:15:51+0000,"Over the course of his two terms in office, Gov. Tim Walz of Minnesota has quietly emerged as one of the nation?™s most forceful advocates for tackling climate change.",,,,,
"Iran?™s President Died, Opening a New Chapter of Instability",2024-05-20T21:57:01+0000,"Ebrahim Raisi, Iran?™s president, was killed yesterday in a helicopter crash along with the country?™s foreign minister. A conservative Shiite Muslim cleric, Raisi had a hand in brutal crackdowns on opponents of the Islamic Republic, and he was widely viewed as a possible successor to Iran?™s supreme leader, Ayatollah Ali Khamenei.",,,,,
Who Won the Debate? A Sharp Harris Rattled Trump,2024-09-11T05:08:10+0000,"In the first, and perhaps only, presidential debate between Vice President Kamala Harris and former President Donald J. Trump, the two candidates verbally sparred in often deeply personal terms, with policy arguments largely being overshadowed by fiery exchanges over character and crowd size.",,,,,
"In Budapest, Xi Hails a ?˜Deep Friendship??With Hungary",2024-05-09T16:35:53+0000,"President Xi Jinping of China on Thursday found another safe zone in a continent increasingly wary of his country, meeting in Budapest with the Hungarian prime minister, Viktor Orban, the European Union?™s perennial odd man out as a vocal supporter of warm relations with both China and Russia.",,,,,
Man Who Struck Officer With Pole on Jan. 6 Sentenced to 6 Years in Prison,2024-04-24T03:43:05+0000,"A North Carolina man who was declared a fugitive after being found guilty last year of assaulting police officers during the Jan. 6, 2021, attack on the Capitol was sentenced on Tuesday to six years in prison, a spokeswoman for the Justice Department said.",,,,,
Elon Musk Leaps to Trump?™s Side in Rally Appearance,2024-10-06T01:19:32+0000,"Elon Musk, the billionaire head of Tesla and SpaceX, strode onto the stage to cheers at Donald J. Trump?™s rally on Saturday night, lifted his arms above his head and jumped into the air ??twice ??exposing his navel as his shirt rode up.",,,,,
?˜Our Enemies Must Be Licking Their Chops??Over Trump?™s Picks,2024-11-14T16:47:01+0000,To the Editor:,,,,,
Brazilian Politician Upends Debate by Hitting Opponent With Chair,2024-09-16T16:55:13+0000,"The race to lead SÃ£o Paulo, Latin America?™s largest city, has been transformed in recent weeks by the brash candidacy of a right-wing self-help coach who has soared in the polls while getting under his opponents??skin with harsh and sometimes misleading attacks.",,,,,
Trump?™s Big Win in Iowa,2024-01-16T11:36:40+0000,"If there was any question whether Donald Trump was on track to win the Republican nomination, it was answered Monday night by the voters of Iowa.",,,,,
"What the TikTok Bill Is Really About, According to a Leading Republican",2024-04-01T09:03:41+0000,"Last month, the House passed a bill that would require TikTok?™s parent company, ByteDance, to sell its U.S. business to a company without ties to the Chinese government or face a ban of the TikTok app in the United States.",,,,,
"Extreme Heat in Rural America, and Putin Visits Vietnam",2024-06-20T10:00:16+0000,On Today?™s Episode:,,,,,
Why Kristi Noem Is in the Doghouse,2024-05-06T21:51:54+0000,"In April 1964, President Lyndon B. Johnson was photographed lifting one of his beagles (he had two, named Him and Her) by the ears. The picture, published in Life magazine, caused widespread public outcry. Johnson apologized ??and after leaving the White House released an EP called ?œDogs Have Always Been My Friends.??But the episode became part of his legend and legacy.",,,,,
Iranian Officials Threaten Retaliation for Israeli Strikes,2024-10-31T19:17:01+0000,"Two top Iranian officials on Thursday said Iran planned to respond to Israel?™s recent attacks, according to Iranian media, threatening to continue a cycle of retaliation between the countries.",,,,,
"Hillary Clinton Has Some Tough Words for Democrats, and for Women",2024-05-25T09:03:25+0000,"Hillary Clinton criticized her fellow Democrats over what she described as a decades-in-the-making failure to protect abortion rights, saying in her first extended interview about the fall of Roe v. Wade that her party underestimated the growing strength of anti-abortion forces until many Democrats were improbably ?œtaken by surprise??by the landmark Dobbs decision in 2022.",,,,,
"Coming to Alabama: Newsom?™s Abortion-Access Ad, Depicting an Arrest",2024-04-21T18:55:20+0000,"A woman nervously peers into her rearview mirror as a patrolman activates his car?™s lights and sirens. She is less than a mile from leaving Alabama to seek abortion services, but it?™s too late: The next thing she knows, she is being handed a pregnancy test and is handcuffed.",,,,,
The Trump Lawyer Who Wields Outsize Influence on the Next White House,2024-11-15T17:19:57+0000,President-elect Donald J. Trump was flying to Washington for his first face-to-face meeting with President Biden since winning the election when a top aide offered a startling idea to broker peace between Russia and Ukraine.,,,,,
"In Rare Move, Judge Changes Mind After 27 Years and Frees Brooklyn Man",2024-10-18T16:31:02+0000,"In 1997, Walter Johnson stood before Judge Frederic Block in a Brooklyn federal courtroom after being convicted of robbery, cocaine possession and witness tampering, just the latest in a troubling series of crimes that involved guns, drugs and violence.",,,,,
"Israel vs. Hamas, Hezbollah, Iran ??and Itself",2024-09-20T09:03:01+0000,"It?™s been almost a year since Oct. 7. More than 40,000 Palestinians in Gaza are dead. The hostages are not all home, and it doesn?™t look like there will be a cease-fire deal that brings them home anytime soon. Israeli politics is deeply divided, and the country?™s international reputation is in tatters. The Palestinian Authority is weak. A war may break out in Lebanon soon. There is no vision for the day after and no theory of what comes next.",,,,,
How Yale Propelled J.D. Vance?™s Career,2024-07-17T09:00:52+0000,"When J.D. Vance applied to law school, he viewed it as a pathway out of his chaotic upbringing in working-class Middletown, Ohio.",,,,,
"Americans Have Regained Modest Trust in Scientists, Survey Finds",2024-11-14T15:00:07+0000,"For the first time since the start of the coronavirus pandemic, the public?™s trust in scientists has improved, according to a survey published Thursday by the Pew Research Center.",,,,,
"You Don?™t Have to Take Every Tax Deduction, and You Shouldn?™t",2024-04-13T11:00:21+0000,"Alejandro NarvÃ¡ez is OK taking less. He hires only contractors who pay their workers a living wage, even if that means a larger bill. A Seattle-based dentist, he?™s promoted cost-effective practices to expand dental care to the underserved, even if those practices cut into his bottom line. And when it comes to paying taxes, he forgoes many deductions afforded him.",,,,,
Kamala Harris and Tim Walz Are Road-Tripping Through Georgia. Could They Actually Win There?,2024-08-28T09:08:19+0000,I can see why many people might not consider late August the best time to head to the Deep South. So hot. So sticky. But this week strikes me as the perfect moment for the Democratic presidential ticket to take a quick bus tour around southern Georgia.,,,,,
"Trump Rails Against Felony Conviction, and U.S. Shifts Ukraine Policy",2024-05-31T10:04:32+0000,On Today?™s Episode:,,,,,
The Key Issues for Business in a Likely Trump-Biden Rematch,2024-01-27T13:00:02+0000,"After beating Nikki Haley in New Hampshire on Tuesday, Donald Trump  reaffirmed his position as the leading candidate to win the Republican nomination. That has business leaders facing the possibility of another Trump presidency, and their investors trying to figure out what it could mean for their bottom lines.",,,,,
"With Potential Pardons by Trump Coming, Judge Delays Jan. 6 Trial",2024-11-14T17:53:49+0000,"A federal judge in Washington agreed on Thursday to delay until after Inauguration Day the trial of a Kansas man accused of attacking the Capitol on Jan. 6, 2021, after the defendant argued that it could be pointless considering President-elect Donald J. Trump has vowed to pardon the rioters who stormed the building that day. ",,,,,
Top Musk Lieutenant Joins Trump Super PAC for Final Push,2024-10-08T16:55:01+0000,"One of Elon Musk?™s most trusted lieutenants has joined the crew of people working for his pro-Trump super PAC, the latest sign of how Mr. Musk is investing his personal brand, energy and network into the group in the final weeks of the presidential campaign.",,,,,
Bacon Prices and the Windmills of Trump?™s Mind,2024-09-05T23:00:06+0000,"Lately I?™ve become obsessed with bacon ??or, more accurately, with Donald Trump?™s obsession with the price of bacon, which has long been his favorite gauge of inflation. For it seems to me that Trump?™s false claims about bacon prices, and his assertions about what?™s driving them, offer a window into his judgment. And the view isn?™t pretty.",,,,,
"With Smugglers and Front Companies, China Is Skirting American A.I. Bans",2024-08-04T04:00:20+0000,"In the southern Chinese city of Shenzhen, a mazelike market stretches for a half-mile, packed with stalls selling every type of electronic imaginable.",,,,,
The Rise of Progressivism Among the Educated Elite,2024-06-22T11:00:08+0000,To the Editor:,,,,,
Monday Briefing: The Final Set of Times/Siena Election Polls,2024-11-03T21:02:03+0000,"There?™s one more day until Election Day, and the final set of Times/Siena polls are in.",,,,,
The Kamala Harris Moment Has Arrived,2024-04-17T23:00:07+0000,"One of Kamala Harris?™s most memorable moments during the 2020 presidential election cycle was when, during a Democratic primary debate, she sharply criticized Joe Biden for working with segregationists in the Senate in their shared opposition to busing.",,,,,
Why a New Conservative Brain Trust Is Resettling Across America,2024-07-04T09:00:23+0000,"The Claremont Institute has been located in Southern California since its founding in the late 1970s. From its perch in the foothills of the San Gabriel Mountains, it has become a leading intellectual center of the pro-Trump right. ",,,,,
An Overlooked War,2024-05-08T10:40:00+0000,A people take to arms and fight for democracy. A military terrorizes civilians with airstrikes and land mines. Tens of thousands are killed. Millions are displaced.,,,,,
How Is a College Football Team Different From Its Marching Band?,2024-03-18T09:04:23+0000,"Robert McRae III has seen a lot. His grandmother, a civil rights activist in Los Angeles, often brought him along to rallies she organized and picket lines she walked ??even to a gay pride parade with giant anatomical balloons that, he recalls with a smile, might not have been age appropriate.",,,,,
