title,date,paragraph,,,,,,
Conservative Commentators Condemn Uproar at NBC,2024-03-26T19:17:51+0000,"The decision by NBC News to hire Ronna McDaniel, the former chair of the Republican National Committee, as a political commentator set off a round of sharp criticism from her new colleagues in recent days. Leading on-air figures at NBC and its cable cousin, MSNBC, including Chuck Todd and Rachel Maddow, took the unusual step of condemning their bosses??decision in public.",,,,,,
"The Long, Tortured Road to Biden?™s Clash With Netanyahu Over Gaza War",2024-05-11T13:33:33+0000,"President Biden laid it out for Prime Minister Benjamin Netanyahu of Israel long before letting the public know. In a conversation bristling with tension on Feb. 11, the president warned the prime minister against a major assault on the Gaza city of Rafah ??and suggested that continued U.S. support would depend on how Israel proceeded.",,,,,,
"With Just Days to Go, Fiercely Divided Arizona Remains a ?˜Jump Ball??,2024-10-30T19:17:31+0000,Six days before Election Day"," the battle for Arizona has grown so fierce that Blake Rebling keeps losing his ?œRepublicans for Harris??yard signs.""",,,,,,,
Tim Walz Steps Into the Spotlight,2024-08-07T16:30:49+0000,To the Editor:,,,,,,
A Leading Law Scholar Fears We?™re Lurching Toward Secession,2024-09-24T00:05:06+0000,Here?™s how rickety our constitutional system has become: The fate of the 2024 election could hang on the integrity of a single Republican state senator in Nebraska.,,,,,,
A Florida Poll That Should Change the Way You Look at the Election,2024-10-08T09:04:16+0000,We have three new New York Times/Siena College polls this morning. Only two look ?œnormal.??,,,,,,
The House G.O.P.?™s Incredible Shrinking Majority,2024-01-16T20:25:58+0000,"When Republicans assumed control of the House early last year after winning a narrow majority in the 2022 midterms, Representative Earl Blumenauer, a veteran Democrat from Oregon, made a bold prediction: His party had a slight chance of reclaiming power before the next election ??through sheer attrition.",,,,,,
Maybe Now Democrats Will Address Working-Class Pain,2024-11-09T12:00:26+0000,"The other day I was supposed to visit a friend who had been released from prison. He had to cancel to rescue his sister, who is using drugs again.",,,,,,
The Threat of More War,2024-08-01T10:35:21+0000,"This week was supposed to bring a rare moment of amity in the Middle East. Iran inaugurated a new president, and its regional rival, Saudi Arabia, dispatched a royal to Tehran with a jovial letter from its king, sending his best wishes. The United Arab Emirates, attacked by the Iranian-backed Houthis just two years ago, published photos of its smiling foreign minister shaking hands with Iranian officials. And a White House spokesman had said that a cease-fire deal in Gaza was ?œclose.??
Trump Has Turned It Up to 11,2024-10-16T09:04:18+0000,Donald Trump is so dependent on racial and ethnic antagonism that without it", he would be a marginal figure," relegated to the sidelines.""",,,,
What Minnesota Voters Think of Tim Walz,2024-08-06T23:34:20+0000,"If Gov. Tim Walz has achieved anything after 18 years in public office, it has been to convince many of his fellow Minnesotans that he is decidedly not weird.",,,,,,
The Senate May Come Down to a Blue State Surprise,2024-09-24T09:05:09+0000,?œI don?™t think I?™m going to be the 51st vote.??,,,,,,
What Teenagers Are Learning About the 2024 Election,2024-10-31T18:35:16+0000,"The lead-up to the 2024 presidential election has become one for the history books: A felony trial, two assassination attempts, a pivotal debate and a history-making candidate?™s nomination are just some of the moments that have come to define the cycle.",,,,,,
Ohio Governor Sends State Police to Springfield After Rash of Bomb Scares,2024-09-17T03:04:23+0000,"Children across Springfield, Ohio, arrived at school Tuesday morning to the sight of state troopers, deployed by the governor after a wave of bomb scares rattled the community.",,,,,,
?˜Founder Mode??Explains the Rise of Trump in Silicon Valley,2024-10-11T09:02:02+0000,Silicon Valley?™s current fascination with a trendy management meme illustrates a broader and more troubling turn in certain powerful pockets of its culture ??one that has seized our politics and could even unduly influence our election (again).,,,,,,
Trump Claims Ignorance of Laura Loomer?™s 9/11 Conspiracy Theories,2024-09-13T20:16:45+0000,"Former President Donald J. Trump, whose recent travel with the far-right activist Laura Loomer has alarmed some of his Republican allies in Congress, defended her on Friday as a ?œfree spirit.??
What to Know About Nevada?™s Primary and Caucus,2024-01-26T23:21:48+0000,With the calendar moving into February and the remaining Republican presidential candidates moving on from the early nominating states of Iowa and New Hampshire"," it?™s Nevada ??not South Carolina ??that?™s next on the schedule.""",,,,,
The Candidates Keep Talking About Electric Cars in Michigan. Here?™s Why.,2024-11-05T01:21:05+0000,"When former President Donald J. Trump made a September campaign stop in Flint, Mich., he warned that the shift toward electric vehicles could allow China to dominate the automotive industry that built that city and others in Michigan.",,,,,,
"As Election Looms, Disinformation ?˜Has Never Been Worse??,2024-10-23T09:10:06+0000,The Democratic Party?™s vice-presidential nominee has been falsely accused of sexually molesting students. The claims have been spread by a former deputy sheriff from Florida", now openly working in Moscow for Russia?™s propaganda apparatus," on dozens of social media platforms and fake news outlets.""",,,,,,
Harris Campaign Says It Raised $200 Million Since Biden Dropped Out,2024-07-28T17:26:50+0000,Vice President Kamala Harris?™s campaign said on Sunday that it had raised $200 million in the week since President Biden withdrew from the race ??more than Mr. Biden?™s haul in the first three months of the year.,,,,,,
Harris Aides Quietly Grow More Bullish on Defeating Trump,2024-10-28T17:46:36+0000,"As the presidential contest enters the final sprint, campaign aides and allies close to Vice President Kamala Harris are growing cautiously optimistic about her chances of victory, saying the race is shifting in her favor.",,,,,,
Workers Deserve Real Power. Unions Aren?™t the Best Way to Get It.,2024-08-30T09:05:15+0000,"On the first night of the Democratic National Convention, six labor leaders took the stage to endorse the party?™s nominee. ?œKamala Harris will keep fighting for workers,??promised the general president of the Laborers??International Union of North America. The Republicans??vision, said the president of the A.F.L.-C.I.O., is ?œa worker?™s nightmare.??
Biden Warns Floridians to ?˜Evacuate Now??as He Postpones Foreign Trip Over Hurricane Milton,2024-10-08T16:02:14+0000,President Biden on Tuesday warned those in the path of Hurricane Milton to ?œevacuate now", now, now,"??as he canceled a diplomatic trip abroad so he could oversee his administration?™s response to the storm barreling toward Florida?™s west coast.""",,,
3 U.S. Intelligence Agencies Warn of Election Interference Efforts by Russia and Iran,2024-11-05T03:27:32+0000,U.S. intelligence and law enforcement officials are warning that Russia is intensifying its already robust effort to subvert confidence in the presidential election on Tuesday by manufacturing false videos and promoting phony allegations of fraud in swing states to stoke division and sow fear.,,,,,,
"Biden Appears to Begin Considering Dropping Out, People Close to Him Say",2024-07-18T22:01:23+0000,"Several people close to President Biden said today that they believe he has begun to accept the idea that he may not be able to win in November and may have to drop out of the race. His shift comes after top Democrats, including Nancy Pelosi, told Biden that they are pessimistic about his chances of beating Donald Trump.",,,,,,
Aaron Sorkin Thinks Life Still Imitates ?˜The West Wing??2024-09-19T09:04:49+0000,"When it premiered on NBC on Sept. 22, 1999, ?œThe West Wing??contained elements of both what great television had been and what great television would become.",,,,,,,
I Have Studied Social Mobility for Years. Here?™s How Kamala Harris Can Build an ?˜Opportunity Economy.??2024-09-20T09:01:51+0000,"At the start of her debate with Donald Trump, Kamala Harris spoke about building an ?œopportunity economy.??What does that mean, and how can we create one?",,,,,,,
Is It Possible the Democrats Were Hurt by a Strong Economy?,2024-11-22T20:00:02+0000,"There?™s an intriguing theory that the presidential bid of Vice President Kamala Harris was hurt by the performance of the U.S. economy ??not because it was too weak, but because it was too strong. I can?™t figure out whether I buy it, but it?™s definitely worth a think.",,,,,,
Why Senate Democrats Are Outperforming Biden in Key States,2024-06-12T14:27:12+0000,"It was a Pride Weekend in Wisconsin, a natural time for the state?™s pathbreaking, openly gay senator to rally her Democratic base, but on Sunday, Tammy Baldwin was far away from the parades and gatherings in Madison and Milwaukee ??at a dairy farm in Republican Richland County.",,,,,,
Kennedy?™s Decision Is Unlikely to Change the Race Significantly,2024-08-22T19:17:15+0000,"Robert F. Kennedy Jr.?™s decision on Friday to suspend his presidential bid comes after his poll numbers had fallen to the level of a run-of-the-mill third-party candidate, after initially showing notably strong support.",,,,,,
The Four Swing States That Could Matter Most,2024-09-25T23:54:24+0000,"The 2024 presidential election is, according to where the polls stand right now, confoundingly close.",,,,,,
Vibes and Polls and Positioning of the Harris Candidacy,2024-08-08T09:07:07+0000,"As I wrote Tuesday, Kamala Harris passed on an opportunity to define herself as a moderate when she selected the progressive favorite Tim Walz as her running mate over more moderate options.",,,,,,
Saving Conservatism From Trumpism,2024-08-16T14:50:51+0000,To the Editor:,,,,,,
"In Puerto Rico, a New Generation Votes for Change",2024-10-31T09:04:39+0000,"At a Trump rally in New York?™s Madison Square Garden on Sunday, a comedian described Puerto Rico as an ?œisland of garbage.??While offensive, it was not surprising. After all, as president, Donald Trump threw paper towels to people at a relief center there and casually mused about trading Puerto Rico for Greenland.",,,,,,
"This Time, It May Actually Come Down to Turnout",2024-10-30T09:03:54+0000,"Every four years, the pundits say ?œit all comes down to turnout.??The line is such a clichÃ© ??it?™s never inaccurate but also means nothing ??that it?™s sometimes a joke on social media.",,,,,,
Trump?™s Opponents See New Ways to Cast the G.O.P. as ?˜Team Misogyny??2024-09-21T09:04:40+0000,"In a race between a Democrat who could be America?™s first female president and a Republican who has been found liable for sexual abuse, the issue of gender was always going to be inescapable.",,,,,,,
The Best Laid Plans to Enjoy (or Ignore) Election Day,2024-11-05T10:04:24+0000,"Madeline Walker, 27, was talking to a close friend about how chaotic Election Day can be, especially in Atlanta, where they both live.",,,,,,
The Ascent of Kamala Harris Should Not Come as a Surprise,2024-08-22T09:02:50+0000,"As the Democratic Party?™s nominee for president of the United States, Vice President Kamala Harris has generated a remarkable level of enthusiasm almost from the moment President Joe Biden endorsed her.",,,,,,
The California Shoplifting Law That Trump Says Is Too Lenient,2024-08-30T09:06:30+0000,"As Donald J. Trump tests lines of attack against Vice President Kamala Harris, he has claimed that shoplifters in California are allowed to steal up to $950 from stores with no consequence ??and that Ms. Harris is to blame.",,,,,,
It?™s Not World War III. But Foreign Conflicts May Get Uglier Before Election Day.,2024-10-04T22:44:42+0000,"Good evening! Tonight, my colleague David Sanger, a White House and national security correspondent, has a look at what the widening conflict in the Middle East might mean for the presidential campaign. Plus, a Times photographer explains what she saw in Georgia this week with Vice President Harris. ??Jess Bidgood",,,,,,
How Harris?™s Effort to Neutralize Immigration as a Campaign Issue Failed,2024-11-15T19:17:29+0000,Vice President Kamala Harris campaigned for the presidency on the toughest immigration platform of any Democrat in decades: She vowed to continue the Biden administrations?™s crackdown on asylum and to impose order on the southern border. She championed her record as a border-state prosecutor and her support of a bipartisan border bill that failed after former President Donald J. Trump urged Republicans to reject it.,,,,,,
Wednesday Briefing,2024-08-28T04:01:49+0000,The presidential election is less than 70 days away. This is what we?™re watching.,,,,,,
The Reason People Are Not Telling Biden the Truth,2024-07-14T10:00:29+0000,"They entered with courage and exited as cowards. In the past two weeks, several leaders have told me they arrived at meetings with President Biden planning to have serious discussions about whether he should withdraw from the 2024 election. They all chickened out.",,,,,,
"JD Vance, D.E.I. Candidate",2024-07-21T10:00:13+0000,"Ever since speculation began that Vice President Kamala Harris might replace President Biden at the top of the Democratic ticket, there has been a steady, ugly chorus on the right. The New York Post published a column that declared that Harris would be a ?œD.E.I. president,??and quickly the phrase ricocheted across the conservative media ecosystem.",,,,,,
"Women Are Dying in Post-Roe America, and Your Vote Matters",2024-11-03T11:00:18+0000,"Over 20 years ago, I had an experience that will be familiar to many women. I had a series of miscarriages, including one for which I needed a medical procedure to protect me from infection ??which is to say, to protect me from possible death.",,,,,,
?˜Nothing Left to Lose?? Why Are Britain?™s Conservatives So Upbeat?,2024-10-02T04:00:17+0000,"Britain?™s Conservative Party suffered the worst election defeat of its modern history less than three months ago. Yet one would be hard pressed to find much evidence of it at the party?™s annual conference in Birmingham, where the drinks flowed, conversation crackled and the mood could be only described as light.",,,,,,
5 Takeaways From Bernie Sanders?™s Interview on ?˜The Daily??2024-11-15T23:30:38+0000,"As the Democratic Party grapples with its sweeping electoral loss and a new political reality, Senator Bernie Sanders of Vermont has been resolute about his diagnosis of where the party went wrong.",,,,,,,
New York City Is Still a Democratic Town. But Trump Made Inroads.,2024-11-06T19:13:12+0000,New York City has rarely been as liberal as the rest of the nation thinks it is.,,,,,,
"Poll Shows Dead Heat, and Biden to Apologize for Native American School Abuses",2024-10-25T10:00:16+0000,On Today?™s Episode:,,,,,,
Homes for Sale in Manhattan and Brooklyn,2024-04-04T09:03:11+0000,"A two-bedroom, two-bath, 1,400-square-foot apartment with marble countertops, a dining nook, a large primary suite, 11-foot ceilings, ample closets, a washer/dryer and window-unit air-conditioning, on the 13th floor of a 23-story prewar doorman building with a live-in super, shared laundry and shared storage. Simona Stanica and Harry Triantis, Douglas Elliman, 917-623-8326; elliman.com",,,,,,
Biden?™s Proposed Supreme Court Reforms,2024-08-04T19:00:09+0000,To the Editor:,,,,,,
Stop Panicking About the Birthrate,2024-08-07T09:04:36+0000,"According to Gallup, the desire to have children hasn?™t changed much over the years that it has polled Americans on the question: In 2023, Gallup reported that of all American adults, 90 percent ?œeither have children, want children or wish they had children,??compared to 94 percent in 2003. Yet the birthrate has declined over that time, not just in the United States but also across the developed world. New data from Pew Research about the potential reasons for the rise in childlessness accompanies a new round of hand-wringing about how Americans don?™t seem to want babies anymore.",,,,,,
"Kamala Harris, Traveling to Arizona, Will Slam Trump Over Abortion",2024-04-12T09:04:09+0000,"Vice President Kamala Harris will travel to Arizona on Friday to assail former President Donald J. Trump over abortion restrictions, with plans to blame him for bans in the state and across the country.",,,,,,
Trump Tells Women That They Won?™t ?˜Be Thinking About Abortion??2024-09-24T03:35:43+0000,Former President Donald J. Trump claimed at a rally on Monday that he would protect women voters by making their communities safer and that they won?™t ?œbe thinking about abortion.??,,,,,,,
Aides Say Trump Resisted Sending Federal Funds After California Wildfires,2024-10-05T00:32:08+0000,"As California battled the deadliest wildfire in its history in 2018, Donald J. Trump, then the president, initially opposed unlocking federal funding for the state, according to two former Trump administration officials.",,,,,,
The Next Month in the Economy Could Be Crucial for the Presidential Election,2024-08-05T15:50:22+0000,"It didn?™t take long for former President Donald J. Trump to make a political weapon out of Monday?™s market sell-off. ?œStock markets are crashing, jobs numbers are terrible, we are heading to World War III, and we have two of the most incompetent ?˜leaders??in history,??Mr. Trump wrote in a post on Truth Social. ?œThis is not good.??
Jim Clyburn Is Right About What Democrats Should Do Next,2024-07-07T10:00:38+0000,President Biden faces a problem with no solution. No interview or speech will convince a doubtful public that he is still fit to serve. Perceptions of him had years to harden. In June 2020", 36 percent of voters said Biden was too old to serve. By 2024, that number had roughly doubled. In the Times/Siena poll conducted in February, 73 percent said he was ?œtoo old to be an effective president.??In the April poll, 69 percent said the same. In the June poll, 70 percent. After the debate," 74 percent."""
Why Republicans Keep Calling Kamala Harris the ?˜Border Czar??2024-07-18T03:49:54+0000,"As Democrats tangle over the re-election prospects of President Biden, Republicans at their national convention this week have trained some of their most intense criticism on Vice President Kamala Harris.",,,,,,,
Vance Thinks He Knows Rural America. Walz Begs to Differ.,2024-08-21T09:04:11+0000,"As Tim Walz took the stage at the Astro Theater in the Omaha suburb of La Vista on Saturday afternoon, the crowd roared with approval. Nearly 2,500 people were packed inside the auditorium, and thousands more were watching on big screens outside. It was the first time that Mr. Walz, the Minnesota governor, had been back to the state where he was born and grew up since Kamala Harris tapped him to join the Democratic ticket. He wasted no time in contrasting his running mate?™s early years with her opponent Donald Trump?™s gilded upbringing.",,,,,,
"Without Another Debate, the Campaign Became a Duel of TV Scenes",2024-10-25T17:06:23+0000,"In a typical election season ??remember those? ??right about now we would be preparing for, or recovering from, the final presidential debate. But Oct. 23, the date of a proposed CNN showdown that Kamala Harris accepted and Donald J. Trump declined, came and went without one.",,,,,,
"Outraged Over Gaza, Protesters Show Left-Wing Divisions as Convention Opens",2024-08-19T19:10:03+0000,"As Democrats gathered in Chicago on Monday, eager to project an image of a liberal movement fully united behind Vice President Kamala Harris, thousands of people marched a few blocks away, presenting a thorny counterpoint.",,,,,,
Prosecutors Leave Decision on Delaying Trump?™s Sentencing Up to Judge,2024-08-19T14:57:42+0000,"Manhattan prosecutors left the politically fraught decision of when to sentence Donald J. Trump in his criminal hush-money case to a judge, declining to endorse or oppose the former president?™s request to postpone until after the November election.",,,,,,
A Head-Spinning Debut,2024-08-10T10:31:12+0000,"Breaking is a new sport at this year?™s Summer Olympics ??at least we?™ll call it a sport for the sake of the Games. You probably know it as break dancing, the art form in which performers spin, pose, glide and dance across the floor with incredible athleticism and charisma. The event debuted yesterday in Paris with the women?™s, or B-Girls?? competition. Ami Yuasa of Japan, known as B-Girl Ami, bested Lithuania?™s Dominika Banevic, or B-Girl Nicka, to win breaking?™s first gold medal. The men, or B-Boys, are competing today.",,,,,,
"Teens, Do You Feel Represented in This Election?",2024-10-16T09:05:18+0000,"Back in February, when Headway first teamed up with Chalkbeat to engage with teenagers about the upcoming presidential election, one of the early questions we wanted to explore had to do with representation.",,,,,,
Harris Will Air Ad Hitting Trump on Abortion During His Fox News Event,2024-10-16T14:40:59+0000,Vice President Kamala Harris?™s campaign will air a television advertisement slamming former President Donald J. Trump?™s record on abortion during a Fox News town-hall event on Wednesday in which he will take questions from an all-female audience.,,,,,,
Penny Trial Defense Shifts Focus From Choke to Sickle Cell and Drug Use,2024-11-23T00:21:02+0000,"Jordan Neely, a Black man who died after he was choked in a subway car last year, had the sickle cell trait, a genetic condition that can affect blood cells and overwhelmingly occurs in Black people. Whether Mr. Neely knew that he had the trait is unclear. But since his death, it has become a point of contention for lawyers.",,,,,,
Can the Government Get People to Have More Babies?,2024-10-13T09:00:49+0000,"In 1989, Japan seemed to be an unstoppable economic superpower. Its companies were overtaking competitors and gobbling up American icons like Rockefeller Center. But inside the country, the government had identified a looming, slow-motion crisis: The fertility rate had fallen to a record low. Policymakers called it the ??.57 shock,??citing the projected average number of children that women would have over their childbearing years.",,,,,,
America Needs More Children. JD Vance?™s Shame Game Won?™t Get Us There.,2024-10-14T09:03:17+0000,"Despite concerns over the falling birthrate, especially on the right, the Times Opinion columnist David French recognizes that the push to have more families ??and bigger ones ??has become problematic. In this audio essay, French explains why he thinks the recent political conversation on the topic reveals ?œthe worst form of natalism.??
The Runza", a Favorite Nebraska Sandwich," Has a Cameo in the Campaign""",2024-10-29T20:05:57+0000,It?™s been a busy few months in Nebraska for the makers of what is most decidedly not a Hot Pocket.,,
How News Outlets on the Left and Right Are Covering Kamala Harris,2024-07-12T17:28:05+0000,"Since President Biden?™s poor debate performance last month, many news outlets have pondered who could supplant him on the Democratic ticket if he were to step aside.",,,,,,
Cramming for the Oscars,2024-03-09T11:28:52+0000,"I?™m in competition with no one but myself in trying to view all the major-category nominees for the Oscars before the ceremony tomorrow night. I?™m doing well this year, probably because the slate is fairly small: Most of the films with acting and screenplay nominations are also contenders for best picture. If I can get over my aversion to biopics that I wish were documentaries instead, I have a good chance of going into the ceremony with the confidence of a dorky student who?™s done all the reading for the final exam.",,,,,,
Meet the Election Denier Forecasting the 2024 Race,2024-10-15T21:04:11+0000,Election forecasters think this year?™s presidential race is too close to call. Nevada? A complete tossup. Pennsylvania? Anybody?™s guess.,,,,,,
Tuesday Briefing: Support Builds for Kamala Harris,2024-07-22T20:50:53+0000,"Many prominent figures in the Democratic Party said yesterday that they backed Vice President Kamala Harris as their new nominee to be president, just a day after President Biden announced that he was ending his campaign.",,,,,,
Trump?™s In-Law Is Trying to Exploit Democrats??Weakness With Arab American Voters,2024-10-17T18:12:50+0000,Follow live updates on the 2024 presidential election and get the latest Michigan election results.,,,,,,
Transcript: Ezra Klein Interviews D. Graham Burnett,2024-05-31T22:21:46+0000,"Every Tuesday and Friday, Ezra Klein invites you into a conversation about something that matters, like today?™s episode with D. Graham Burnett. Listen wherever you get your podcasts.",,,,,,
We?™re Looking at the Wrong Gender Gap in Voting,2024-10-26T16:00:03+0000,"Every election cycle has its own story lines. This year, one of them is that young men love Donald Trump. Consider a few recent headlines.",,,,,,
You Want Policies? Trump?™s Got Policies.,2024-08-28T09:08:19+0000,"Donald Trump?™s policy initiatives for a potential second term are rife with unintended adverse consequences ??which, in less charitable terms, could be described as deliberate attempts to delude the electorate.",,,,,,
Walz Forcefully Defends Military Record in First Solo Campaign Stop,2024-08-13T22:41:37+0000,Gov. Tim Walz of Minnesota defended himself against Republican attacks on his military service record on Tuesday in his first solo campaign event since being named Vice President Kamala Harris?™s running mate.,,,,,,
"Biden Has an Opportunity Now in Gaza, but Only if He Pushes",2024-10-19T11:00:23+0000,The question now is: Can Prime Minister Benjamin Netanyahu of Israel be pressured to declare victory and end the war in Gaza?,,,,,,
"Trump Makes Big Promises, With Little Detail, for Michigan?™s Auto Industry",2024-09-18T01:51:56+0000,"Two days after an apparent assassination attempt against him, former President Donald J. Trump showed few signs on Tuesday that he would shake up his approach to campaigning.",,,,,,
Majority of Biden?™s 2020 Voters Now Say He?™s Too Old to Be Effective,2024-03-03T10:03:35+0000,Follow live updates on Trump and Haley after Super Tuesday.,,,,,,
Jack Smith Owes Us an Explanation,2024-10-09T09:04:28+0000,Last week a judge unsealed a 165-page redacted legal brief with damaging revelations about Donald Trump?™s efforts to overturn the 2020 presidential election.,,,,,,
"A Week After Shooting, Trump Leaves Unity Behind and Returns to Insults and Election Denial",2024-07-21T02:59:42+0000,"At his first campaign rally since he survived an assassination attempt last week, former President Donald J. Trump on Saturday launched a litany of attacks that suggested his call for national unity in the wake of the shooting had faded entirely into the background.",,,,,,
What We?™ll Know and When We?™ll Know It: A Guide to Election Night,2024-11-05T10:04:38+0000,"Four years ago, it took days for news organizations to project Joe Biden as the winner of the election.",,,,,,
"Asked if He Wants Ukraine to Defeat Russia, Trump Doesn?™t Say Yes",2024-09-11T11:23:30+0000,?œDo you want Ukraine to win this war???,,,,,,
A Conversation With JD Vance,2024-10-12T09:15:10+0000,"From the moment JD Vance came onto the national stage, he was inextricably linked to Donald Trump. As the author of the best-selling book ?œHillbilly Elegy,??Vance was initially the Trump whisperer, explaining the Trump phenomenon and 2016 win to shocked liberals. Back then, Vance didn?™t like Trump. He called him an ?œidiot,??condemned what he saw as Trump?™s dangerous rhetoric and wondered in a private message whether Trump could become ?œAmerica?™s Hitler.??
How China Pulled So Far Ahead on Industrial Policy,2024-05-27T04:01:43+0000,For more than half a century"," concerns about oil shortages or a damaged climate have spurred governments to invest in alternative energy sources.""",,,,,
"Democrats, All of Them, Must Protect Harris",2024-07-24T23:00:10+0000,"Donald Trump has openly said that if he wins in November and returns to office, he won?™t be a dictator, ?œexcept for Day 1.??Kevin Roberts, the president of the Heritage Foundation, the right-wing think tank that organized the potentially country-altering Project 2025, has said, ?œWe are in the process of the second American Revolution, which will remain bloodless if the left allows it to be.??And on Monday at a rally for JD Vance, the Republican vice-presidential nominee, an Ohio state senator named George Lang said, ?œI?™m afraid if we lose this one, it?™s going to take a civil war to save the country, and it will be saved.??
In New Hampshire"," Haley and DeSantis Were Asked About Race in America. It Got Awkward.""",2024-01-17T05:16:14+0000,"When Ron DeSantis was asked on Tuesday night in a televised town hall in New Hampshire if he agreed with Nikki Haley that ?œAmerica has never been a racist country,??as she had said earlier in the day, it seemed like an easy opportunity to hit his rival.",,,
The ?˜Sad Missed Opportunity??of the Democratic Convention,2024-08-27T09:03:46+0000,"The Democratic Party?™s recent position ??or lack of position ??on Gaza ?œfeels like gaslighting to a lot of Democratic voters,??Farah Stockman of the editorial board argues in this audio essay. The party claims to value social justice and human rights, but when it comes to the ongoing conflict in the Middle East, she says, Kamala Harris ?œneeds to do more, and she can do more, to assure people she?™s going to have a more evenhanded approach when she becomes president.??
Push for Gender Equality in E.U.?™s Top Roles Looks Set to Fall Short,2024-08-29T12:22:14+0000,The European Union has presented itself as a champion for promoting gender equality"," adopting rules requiring companies to increase the number of women on their boards and pushing employers to address the gender pay gap.""",,,,,
Trump Declines to Back Away From ?˜You Don?™t Have to Vote Again??Line,2024-07-30T14:16:46+0000,"Former President Donald J. Trump, in an interview broadcast Monday night, repeated his recent assertion that Christians will never have to vote again if they vote for him this November, and brushed aside multiple requests to walk back or clarify the statement.",,,,,,
Naked Emperors and Crypto Campaign Cash,2024-08-29T23:00:08+0000,"Once upon a time there was an emperor who loved being fashion-forward. So he was receptive to some fast-talking tailors who promised to make him a suit out of new, high-technology fabric ??a suit so comfortable that it would feel as if he were wearing nothing at all. ?œFortune favors the brave,??they told him.",,,,,,
Trump Escalates Threats as Campaign Enters Dark Final Stretch,2024-10-26T21:05:44+0000,A campaign marked by Donald J. Trump?™s apocalyptic extremes has turned even darker in its final days.,,,,,,
Harris Holds First Fund-Raiser as Democrats Rally: ?˜We Are the Underdogs??2024-07-27T20:38:30+0000,Vice President Kamala Harris warned a crowd of supporters on Saturday that former President Donald J. Trump held the advantage in their contest for the White House given the short window until Election Day.,,,,,,,
Transcript: Ezra Klein Discusses Kamala Harris?™s VP pick,2024-08-06T23:12:57+0000,"Every Tuesday and Friday, Ezra Klein invites you into a conversation about something that matters, like today?™s episode, reacting to Kamala Harris?™s VP pick, Tim Walz. Listen wherever you get your podcasts.",,,,,,
Inside the Obama-Shapiro Relationship,2024-08-04T16:02:55+0000,"In 2007, a Pennsylvania state representative named Josh Shapiro broke with much of the Democratic establishment to back for president a first-term senator from Illinois named Barack Obama.",,,,,,
"Preppers Await the End. But First, the Election.",2024-11-04T19:25:45+0000,The meeting of 19 or so Arizonans in a squat Baptist church to discuss their preparedness for society?™s possible collapse was just one event in Mike Fendt?™s weekly schedule.,,,,,,
"An Attempt to Kill an Ex-President, Caught in Real Time, Stuns the Country",2024-07-14T04:29:36+0000,Follow the latest news on the Trump assassination attempt.,,,,,,
"Robert F. Kennedy Jr. Won?™t Be on New York Ballot, Supreme Court Rules",2024-09-27T19:26:06+0000,The Supreme Court said on Friday that it would not restore Robert F. Kennedy Jr. to the ballot in New York after a state court judge ruled that he had used a sham address on his nominating petition.,,,,,,
Biden?™s Family Tells Him to Keep Fighting as They Huddle at Camp David,2024-06-30T19:29:59+0000,"President Biden?™s family is urging him to stay in the race and keep fighting despite last week?™s disastrous debate performance, even as some members of his clan privately expressed exasperation at how he was prepared for the event by his staff, people close to the situation said on Sunday.",,,,,,
Why the Story of the Golf Course Shooting Will Be Told Twice,2024-09-17T22:45:46+0000,"Usually, after a deadly emergency or an event that could have become one, the governor of the state where it happened somberly pledges to support the agency investigating it however he or she can.",,,,,,
A Harris Economy Could Prove More Progressive Than ?˜Bidenomics??2024-07-21T20:43:56+0000,"At the first Democratic presidential debate in 2019, Kamala Harris, then a senator from California, unleashed a scathing critique of the Trump economy.",,,,,,,
What Business Wants to Learn About Harris,2024-08-19T12:15:51+0000,"The center of the national conversation this week turns to Chicago, as the Democratic National Convention is set to kick off on Monday.",,,,,,
"Ella Emhoff, Second Daughter of New York?™s Downtown",2024-10-28T09:00:48+0000,"?œHow can you be ?˜childless??when you have cutie pie kids like Cole and I,??Ella Emhoff, Vice President Kamala Harris?™s stepdaughter, posted on Instagram over the summer.",,,,,,
Tuesday Briefing: Israeli Airstrikes in Lebanon Kill Hundreds,2024-09-24T04:34:13+0000,"Israeli airstrikes against Hezbollah in Lebanon killed nearly 500, including dozens of women and children, and injured more than 1,000 others, Lebanon?™s health ministry said. It was the deadliest day of Israeli attacks there since at least 2006, when Israel last fought a war with Hezbollah, an Iranian-backed militant group. Follow live updates.",,,,,,
A Venezuelan Gang Reaches New York,2024-09-23T09:04:08+0000,Good morning. It?™s Monday. Today we?™ll get details on a Venezuelan gang that has emerged in New York City. We?™ll also find out why the final screenings of the film ?œLa Chimera??last week were packed.,,,,,,
"Where Kamala Harris Stands on the Issues: Abortion, Immigration and More",2024-07-21T18:21:07+0000,Follow along with live updates on the Trump and Harris campaigns.,,,,,,
Stop Pretending Trump Is Not Who We Are,2024-11-06T10:37:55+0000,I remember when Donald Trump was not normal.,,,,,,
Mark Kelly Is a Different Kind of Democrat,2024-08-02T09:04:44+0000,"Any discussion of Senator Mark Kelly of Arizona, who is on Kamala Harris?™s shortlist of vice-presidential picks, invariably includes the phrase ?œformer NASA astronaut.??He flew four Space Shuttle missions ??two as commander ??the desideratum of a child?™s imagining of a future career and a killer rÃ©sumÃ© line for anyone running for public office.",,,,,,
